timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1679593833204,2953,S01_T01_LaunchApp,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-3,,true,,29823,16803,5,5,null,0,1764,744
1679593833225,8,S01_T01_LaunchApp-00,200,,Thread Group 1-3,text,true,,460,348,3,3,http://localhost:8080/,8,0,1
1679593833326,488,S01_T01_LaunchApp-01,200,OK,Thread Group 1-3,text,true,,1909,580,5,5,https://fonts.googleapis.com/css?family=Cormorant+Garamond%3A300%2C400%2C500%2C600%2C700%7CPoppins%3A300%2C400%2C500%2C600%2C700%2C800%2C900%7CJosefin+Sans%3Awght%40300%3B400%3B500%3B600%3B700%7CAbril+Fatface%7CGreat+Vibe%7CLobster&display=swap,487,0,427
1679593833898,131,S01_T01_LaunchApp-02,404,,Thread Group 1-3,text,true,,689,403,5,5,http://localhost:8080/static/media/fontawesome-webfont.af6df524.woff2,127,0,0
1679593834042,1056,S01_T01_LaunchApp-03,200,OK,Thread Group 1-3,text,true,,713,1664,5,5,https://incoming.telemetry.mozilla.org/submit/activity-stream/sessions/1/3d08cd42-c87c-429c-9973-d196a8938128,1056,0,316
1679593835108,16,S01_T01_LaunchApp-04,200,,Thread Group 1-3,,true,,533,397,5,5,http://localhost:8080/actuator/health/ping,16,0,0
1679593835218,9,S01_T01_LaunchApp-05,200,,Thread Group 1-3,text,true,,450,340,5,5,http://localhost:8080/actuator/health/ping,8,0,0
1679593835310,54,S01_T01_LaunchApp-06,200,,Thread Group 1-3,,true,,533,420,5,5,http://localhost:8080/api/v1/content/boxes/headerMessage/?lang=en,54,0,0
1679593835391,37,S01_T01_LaunchApp-07,200,,Thread Group 1-3,,true,,533,427,5,5,http://localhost:8080/api/v1/products/group/FEATURED_ITEM?store=&lang=en,37,0,0
1679593835527,291,S01_T01_LaunchApp-08,200,OK,Thread Group 1-3,text,true,,858,2558,5,5,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/33c51a44-b38d-4d44-9cdf-4c67051b7163,291,0,0
1679593835833,29,S01_T01_LaunchApp-09,404,,Thread Group 1-3,text,true,,522,363,5,5,http://localhost:8080/api/v1/content/boxes/headerMessage/?lang=en,28,0,0
1679593835914,48,S01_T01_LaunchApp-10,200,,Thread Group 1-3,text,true,,9311,370,5,5,http://localhost:8080/api/v1/products/group/FEATURED_ITEM?store=&lang=en,43,0,0
1679593836067,28,S01_T01_LaunchApp-11,200,,Thread Group 1-3,,true,,533,424,5,5,http://localhost:8080/api/v1/category/?count=20&page=0&store=&lang=en,28,0,0
1679593836125,37,S01_T01_LaunchApp-12,200,,Thread Group 1-3,,true,,533,397,5,5,http://localhost:8080/api/v1/store/DEFAULT,37,0,0
1679593836246,52,S01_T01_LaunchApp-13,200,,Thread Group 1-3,,true,,533,429,5,5,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=&lang=en,52,0,0
1679593836393,12,S01_T01_LaunchApp-14,200,,Thread Group 1-3,text,true,,1163,340,5,5,http://localhost:8080/api/v1/store/DEFAULT,11,0,0
1679593836421,12,S01_T01_LaunchApp-15,200,,Thread Group 1-3,text,true,,1531,367,5,5,http://localhost:8080/api/v1/category/?count=20&page=0&store=&lang=en,11,0,0
1679593836494,13,S01_T01_LaunchApp-16,200,,Thread Group 1-3,text,true,,511,372,5,5,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=&lang=en,11,0,0
1679593836520,43,S01_T01_LaunchApp-17,200,,Thread Group 1-3,,true,,533,415,5,5,http://localhost:8080/api/v1/product/50/price/,43,0,0
1679593836566,30,S01_T01_LaunchApp-18,200,,Thread Group 1-3,,true,,533,415,5,5,http://localhost:8080/api/v1/product/52/price/,30,0,0
1679593836682,30,S01_T01_LaunchApp-19,200,,Thread Group 1-3,,true,,533,415,5,5,http://localhost:8080/api/v1/product/50/price/,30,0,0
1679593836769,23,S01_T01_LaunchApp-20,200,,Thread Group 1-3,,true,,533,414,5,5,http://localhost:8080/api/v1/product/1/price/,23,0,0
1679593836846,90,S01_T01_LaunchApp-21,200,,Thread Group 1-3,,true,,533,414,5,5,http://localhost:8080/api/v1/product/1/price/,90,0,0
1679593837024,102,S01_T01_LaunchApp-22,200,,Thread Group 1-3,,true,,533,415,5,5,http://localhost:8080/api/v1/product/51/price/,102,0,0
1679593837162,75,S01_T01_LaunchApp-23,200,,Thread Group 1-3,,true,,533,415,5,5,http://localhost:8080/api/v1/product/51/price/,75,0,0
1679593837293,84,S01_T01_LaunchApp-24,200,,Thread Group 1-3,,true,,533,415,5,5,http://localhost:8080/api/v1/product/52/price/,84,0,0
1679593837462,17,S01_T01_LaunchApp-25,200,,Thread Group 1-3,text,true,,531,410,5,5,http://localhost:8080/api/v1/product/1/price/,16,0,0
1679593837534,19,S01_T01_LaunchApp-26,200,,Thread Group 1-3,text,true,,531,411,5,5,http://localhost:8080/api/v1/product/52/price/,18,0,0
1679593837606,14,S01_T01_LaunchApp-27,200,,Thread Group 1-3,text,true,,529,411,5,5,http://localhost:8080/api/v1/product/50/price/,14,0,0
1679593837671,8,S01_T01_LaunchApp-28,200,,Thread Group 1-3,text,true,,529,411,5,5,http://localhost:8080/api/v1/product/50/price/,8,0,0
1679593837739,26,S01_T01_LaunchApp-29,200,,Thread Group 1-3,text,true,,531,410,5,5,http://localhost:8080/api/v1/product/1/price/,25,0,0
1679593837793,22,S01_T01_LaunchApp-30,200,,Thread Group 1-3,text,true,,531,411,5,5,http://localhost:8080/api/v1/product/51/price/,19,0,0
1679593837858,30,S01_T01_LaunchApp-31,200,,Thread Group 1-3,text,true,,531,411,5,5,http://localhost:8080/api/v1/product/52/price/,21,0,0
1679593837900,19,S01_T01_LaunchApp-32,200,,Thread Group 1-3,text,true,,531,411,5,5,http://localhost:8080/api/v1/product/51/price/,18,0,0
1679593833023,3159,S01_T01_LaunchApp,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-2,,true,,29903,16803,5,5,null,0,1794,853
1679593833103,19,S01_T01_LaunchApp-00,200,,Thread Group 1-2,text,true,,460,348,2,2,http://localhost:8080/,18,0,1
1679593833132,682,S01_T01_LaunchApp-01,200,OK,Thread Group 1-2,text,true,,1907,580,5,5,https://fonts.googleapis.com/css?family=Cormorant+Garamond%3A300%2C400%2C500%2C600%2C700%7CPoppins%3A300%2C400%2C500%2C600%2C700%2C800%2C900%7CJosefin+Sans%3Awght%40300%3B400%3B500%3B600%3B700%7CAbril+Fatface%7CGreat+Vibe%7CLobster&display=swap,681,0,625
1679593833856,173,S01_T01_LaunchApp-02,404,,Thread Group 1-2,text,true,,689,403,5,5,http://localhost:8080/static/media/fontawesome-webfont.af6df524.woff2,169,0,0
1679593834130,971,S01_T01_LaunchApp-03,200,OK,Thread Group 1-2,text,true,,879,1664,5,5,https://incoming.telemetry.mozilla.org/submit/activity-stream/sessions/1/3d08cd42-c87c-429c-9973-d196a8938128,970,0,227
1679593835119,20,S01_T01_LaunchApp-04,200,,Thread Group 1-2,,true,,533,397,5,5,http://localhost:8080/actuator/health/ping,20,0,0
1679593835234,9,S01_T01_LaunchApp-05,200,,Thread Group 1-2,text,true,,450,340,5,5,http://localhost:8080/actuator/health/ping,9,0,0
1679593835258,82,S01_T01_LaunchApp-06,200,,Thread Group 1-2,,true,,533,420,5,5,http://localhost:8080/api/v1/content/boxes/headerMessage/?lang=en,82,0,0
1679593835407,33,S01_T01_LaunchApp-07,200,,Thread Group 1-2,,true,,533,427,5,5,http://localhost:8080/api/v1/products/group/FEATURED_ITEM?store=&lang=en,33,0,0
1679593835496,322,S01_T01_LaunchApp-08,200,OK,Thread Group 1-2,text,true,,774,2558,5,5,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/33c51a44-b38d-4d44-9cdf-4c67051b7163,321,0,0
1679593835883,26,S01_T01_LaunchApp-09,404,,Thread Group 1-2,text,true,,522,363,5,5,http://localhost:8080/api/v1/content/boxes/headerMessage/?lang=en,25,0,0
1679593835917,57,S01_T01_LaunchApp-10,200,,Thread Group 1-2,text,true,,9311,370,5,5,http://localhost:8080/api/v1/products/group/FEATURED_ITEM?store=&lang=en,56,0,0
1679593836023,54,S01_T01_LaunchApp-11,200,,Thread Group 1-2,,true,,533,424,5,5,http://localhost:8080/api/v1/category/?count=20&page=0&store=&lang=en,54,0,0
1679593836105,31,S01_T01_LaunchApp-12,200,,Thread Group 1-2,,true,,533,397,5,5,http://localhost:8080/api/v1/store/DEFAULT,31,0,0
1679593836138,32,S01_T01_LaunchApp-13,200,,Thread Group 1-2,,true,,533,429,5,5,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=&lang=en,32,0,0
1679593836197,6,S01_T01_LaunchApp-14,200,,Thread Group 1-2,text,true,,1163,340,5,5,http://localhost:8080/api/v1/store/DEFAULT,6,0,0
1679593836287,12,S01_T01_LaunchApp-15,200,,Thread Group 1-2,text,true,,1531,367,5,5,http://localhost:8080/api/v1/category/?count=20&page=0&store=&lang=en,11,0,0
1679593836339,10,S01_T01_LaunchApp-16,200,,Thread Group 1-2,text,true,,511,372,5,5,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=&lang=en,9,0,0
1679593836391,53,S01_T01_LaunchApp-17,200,,Thread Group 1-2,,true,,533,415,5,5,http://localhost:8080/api/v1/product/50/price/,53,0,0
1679593836495,64,S01_T01_LaunchApp-18,200,,Thread Group 1-2,,true,,533,415,5,5,http://localhost:8080/api/v1/product/52/price/,64,0,0
1679593836628,27,S01_T01_LaunchApp-19,200,,Thread Group 1-2,,true,,533,415,5,5,http://localhost:8080/api/v1/product/50/price/,27,0,0
1679593836661,33,S01_T01_LaunchApp-20,200,,Thread Group 1-2,,true,,533,414,5,5,http://localhost:8080/api/v1/product/1/price/,33,0,0
1679593836771,22,S01_T01_LaunchApp-21,200,,Thread Group 1-2,,true,,533,414,5,5,http://localhost:8080/api/v1/product/1/price/,22,0,0
1679593836868,92,S01_T01_LaunchApp-22,200,,Thread Group 1-2,,true,,533,415,5,5,http://localhost:8080/api/v1/product/51/price/,92,0,0
1679593837038,83,S01_T01_LaunchApp-23,200,,Thread Group 1-2,,true,,533,415,5,5,http://localhost:8080/api/v1/product/51/price/,83,0,0
1679593837213,41,S01_T01_LaunchApp-24,200,,Thread Group 1-2,,true,,533,415,5,5,http://localhost:8080/api/v1/product/52/price/,41,0,0
1679593837312,37,S01_T01_LaunchApp-25,200,,Thread Group 1-2,text,true,,531,410,5,5,http://localhost:8080/api/v1/product/1/price/,35,0,0
1679593837396,27,S01_T01_LaunchApp-26,200,,Thread Group 1-2,text,true,,531,411,5,5,http://localhost:8080/api/v1/product/52/price/,25,0,0
1679593837459,36,S01_T01_LaunchApp-27,200,,Thread Group 1-2,text,true,,529,411,5,5,http://localhost:8080/api/v1/product/50/price/,35,0,0
1679593837531,19,S01_T01_LaunchApp-28,200,,Thread Group 1-2,text,true,,529,411,5,5,http://localhost:8080/api/v1/product/50/price/,18,0,0
1679593837643,7,S01_T01_LaunchApp-29,200,,Thread Group 1-2,text,true,,531,410,5,5,http://localhost:8080/api/v1/product/1/price/,7,0,0
1679593837727,34,S01_T01_LaunchApp-30,200,,Thread Group 1-2,text,true,,531,411,5,5,http://localhost:8080/api/v1/product/51/price/,31,0,0
1679593837831,21,S01_T01_LaunchApp-31,200,,Thread Group 1-2,text,true,,531,411,5,5,http://localhost:8080/api/v1/product/52/price/,21,0,0
1679593837951,24,S01_T01_LaunchApp-32,200,,Thread Group 1-2,text,true,,531,411,5,5,http://localhost:8080/api/v1/product/51/price/,22,0,0
1679593833387,3010,S01_T01_LaunchApp,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-4,,true,,30122,16803,5,5,null,0,1588,641
1679593833394,7,S01_T01_LaunchApp-00,200,,Thread Group 1-4,text,true,,460,348,4,4,http://localhost:8080/,7,0,1
1679593833408,404,S01_T01_LaunchApp-01,200,OK,Thread Group 1-4,text,true,,2199,580,5,5,https://fonts.googleapis.com/css?family=Cormorant+Garamond%3A300%2C400%2C500%2C600%2C700%7CPoppins%3A300%2C400%2C500%2C600%2C700%2C800%2C900%7CJosefin+Sans%3Awght%40300%3B400%3B500%3B600%3B700%7CAbril+Fatface%7CGreat+Vibe%7CLobster&display=swap,403,0,345
1679593833854,171,S01_T01_LaunchApp-02,404,,Thread Group 1-4,text,true,,689,403,5,5,http://localhost:8080/static/media/fontawesome-webfont.af6df524.woff2,171,0,0
1679593834064,1034,S01_T01_LaunchApp-03,200,OK,Thread Group 1-4,text,true,,837,1664,5,5,https://incoming.telemetry.mozilla.org/submit/activity-stream/sessions/1/3d08cd42-c87c-429c-9973-d196a8938128,1034,0,295
1679593835105,22,S01_T01_LaunchApp-04,200,,Thread Group 1-4,,true,,533,397,5,5,http://localhost:8080/actuator/health/ping,22,0,0
1679593835188,9,S01_T01_LaunchApp-05,200,,Thread Group 1-4,text,true,,450,340,5,5,http://localhost:8080/actuator/health/ping,8,0,0
1679593835279,81,S01_T01_LaunchApp-06,200,,Thread Group 1-4,,true,,533,420,5,5,http://localhost:8080/api/v1/content/boxes/headerMessage/?lang=en,81,0,0
1679593835379,33,S01_T01_LaunchApp-07,200,,Thread Group 1-4,,true,,533,427,5,5,http://localhost:8080/api/v1/products/group/FEATURED_ITEM?store=&lang=en,33,0,0
1679593835449,369,S01_T01_LaunchApp-08,200,OK,Thread Group 1-4,text,true,,743,2558,5,5,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/33c51a44-b38d-4d44-9cdf-4c67051b7163,368,0,0
1679593835895,40,S01_T01_LaunchApp-09,404,,Thread Group 1-4,text,true,,522,363,5,5,http://localhost:8080/api/v1/content/boxes/headerMessage/?lang=en,35,0,0
1679593835971,42,S01_T01_LaunchApp-10,200,,Thread Group 1-4,text,true,,9311,370,5,5,http://localhost:8080/api/v1/products/group/FEATURED_ITEM?store=&lang=en,41,0,0
1679593836026,47,S01_T01_LaunchApp-11,200,,Thread Group 1-4,,true,,533,424,5,5,http://localhost:8080/api/v1/category/?count=20&page=0&store=&lang=en,47,0,0
1679593836117,42,S01_T01_LaunchApp-12,200,,Thread Group 1-4,,true,,533,397,5,5,http://localhost:8080/api/v1/store/DEFAULT,42,0,0
1679593836212,34,S01_T01_LaunchApp-13,200,,Thread Group 1-4,,true,,533,429,5,5,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=&lang=en,34,0,0
1679593836312,13,S01_T01_LaunchApp-14,200,,Thread Group 1-4,text,true,,1163,340,5,5,http://localhost:8080/api/v1/store/DEFAULT,12,0,0
1679593836382,14,S01_T01_LaunchApp-15,200,,Thread Group 1-4,text,true,,1531,367,5,5,http://localhost:8080/api/v1/category/?count=20&page=0&store=&lang=en,14,0,0
1679593836465,13,S01_T01_LaunchApp-16,200,,Thread Group 1-4,text,true,,511,372,5,5,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=&lang=en,10,0,0
1679593836554,36,S01_T01_LaunchApp-17,200,,Thread Group 1-4,,true,,533,415,5,5,http://localhost:8080/api/v1/product/50/price/,36,0,0
1679593836648,31,S01_T01_LaunchApp-18,200,,Thread Group 1-4,,true,,533,415,5,5,http://localhost:8080/api/v1/product/52/price/,31,0,0
1679593836724,35,S01_T01_LaunchApp-19,200,,Thread Group 1-4,,true,,533,415,5,5,http://localhost:8080/api/v1/product/50/price/,35,0,0
1679593836802,64,S01_T01_LaunchApp-20,200,,Thread Group 1-4,,true,,533,414,5,5,http://localhost:8080/api/v1/product/1/price/,64,0,0
1679593836890,77,S01_T01_LaunchApp-21,200,,Thread Group 1-4,,true,,533,414,5,5,http://localhost:8080/api/v1/product/1/price/,77,0,0
1679593836973,80,S01_T01_LaunchApp-22,200,,Thread Group 1-4,,true,,533,415,5,5,http://localhost:8080/api/v1/product/51/price/,80,0,0
1679593837074,84,S01_T01_LaunchApp-23,200,,Thread Group 1-4,,true,,533,415,5,5,http://localhost:8080/api/v1/product/51/price/,84,0,0
1679593837184,61,S01_T01_LaunchApp-24,200,,Thread Group 1-4,,true,,533,415,5,5,http://localhost:8080/api/v1/product/52/price/,61,0,0
1679593837307,35,S01_T01_LaunchApp-25,200,,Thread Group 1-4,text,true,,531,410,5,5,http://localhost:8080/api/v1/product/1/price/,34,0,0
1679593837442,16,S01_T01_LaunchApp-26,200,,Thread Group 1-4,text,true,,531,411,5,5,http://localhost:8080/api/v1/product/52/price/,16,0,0
1679593837536,19,S01_T01_LaunchApp-27,200,,Thread Group 1-4,text,true,,529,411,5,5,http://localhost:8080/api/v1/product/50/price/,16,0,0
1679593837639,6,S01_T01_LaunchApp-28,200,,Thread Group 1-4,text,true,,529,411,5,5,http://localhost:8080/api/v1/product/50/price/,5,0,0
1679593837717,26,S01_T01_LaunchApp-29,200,,Thread Group 1-4,text,true,,531,410,5,5,http://localhost:8080/api/v1/product/1/price/,25,0,0
1679593837782,19,S01_T01_LaunchApp-30,200,,Thread Group 1-4,text,true,,531,411,5,5,http://localhost:8080/api/v1/product/51/price/,17,0,0
1679593837883,25,S01_T01_LaunchApp-31,200,,Thread Group 1-4,text,true,,531,411,5,5,http://localhost:8080/api/v1/product/52/price/,21,0,0
1679593837962,21,S01_T01_LaunchApp-32,200,,Thread Group 1-4,text,true,,531,411,5,5,http://localhost:8080/api/v1/product/51/price/,20,0,0
1679593833584,2456,S01_T01_LaunchApp,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-5,,true,,30136,16803,5,5,null,0,2021,340
1679593833649,8,S01_T01_LaunchApp-00,200,,Thread Group 1-5,text,true,,460,348,5,5,http://localhost:8080/,8,0,1
1679593833758,154,S01_T01_LaunchApp-01,200,OK,Thread Group 1-5,text,true,,2167,580,5,5,https://fonts.googleapis.com/css?family=Cormorant+Garamond%3A300%2C400%2C500%2C600%2C700%7CPoppins%3A300%2C400%2C500%2C600%2C700%2C800%2C900%7CJosefin+Sans%3Awght%40300%3B400%3B500%3B600%3B700%7CAbril+Fatface%7CGreat+Vibe%7CLobster&display=swap,153,0,100
1679593833936,93,S01_T01_LaunchApp-02,404,,Thread Group 1-5,text,true,,689,403,5,5,http://localhost:8080/static/media/fontawesome-webfont.af6df524.woff2,89,0,0
1679593834115,985,S01_T01_LaunchApp-03,200,OK,Thread Group 1-5,text,true,,736,1664,5,5,https://incoming.telemetry.mozilla.org/submit/activity-stream/sessions/1/3d08cd42-c87c-429c-9973-d196a8938128,984,0,239
1679593835175,13,S01_T01_LaunchApp-04,200,,Thread Group 1-5,,true,,533,397,5,5,http://localhost:8080/actuator/health/ping,13,0,0
1679593835289,9,S01_T01_LaunchApp-05,200,,Thread Group 1-5,text,true,,450,340,5,5,http://localhost:8080/actuator/health/ping,8,0,0
1679593835398,38,S01_T01_LaunchApp-06,200,,Thread Group 1-5,,true,,533,420,5,5,http://localhost:8080/api/v1/content/boxes/headerMessage/?lang=en,38,0,0
1679593835536,39,S01_T01_LaunchApp-07,200,,Thread Group 1-5,,true,,533,427,5,5,http://localhost:8080/api/v1/products/group/FEATURED_ITEM?store=&lang=en,39,0,0
1679593835581,242,S01_T01_LaunchApp-08,200,OK,Thread Group 1-5,text,true,,890,2558,5,5,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/33c51a44-b38d-4d44-9cdf-4c67051b7163,241,0,0
1679593835824,28,S01_T01_LaunchApp-09,404,,Thread Group 1-5,text,true,,522,363,5,5,http://localhost:8080/api/v1/content/boxes/headerMessage/?lang=en,27,0,0
1679593835947,32,S01_T01_LaunchApp-10,200,,Thread Group 1-5,text,true,,9311,370,5,5,http://localhost:8080/api/v1/products/group/FEATURED_ITEM?store=&lang=en,32,0,0
1679593836005,58,S01_T01_LaunchApp-11,200,,Thread Group 1-5,,true,,533,424,5,5,http://localhost:8080/api/v1/category/?count=20&page=0&store=&lang=en,58,0,0
1679593836101,32,S01_T01_LaunchApp-12,200,,Thread Group 1-5,,true,,533,397,5,5,http://localhost:8080/api/v1/store/DEFAULT,32,0,0
1679593836224,49,S01_T01_LaunchApp-13,200,,Thread Group 1-5,,true,,533,429,5,5,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=&lang=en,49,0,0
1679593836299,11,S01_T01_LaunchApp-14,200,,Thread Group 1-5,text,true,,1163,340,5,5,http://localhost:8080/api/v1/store/DEFAULT,11,0,0
1679593836313,14,S01_T01_LaunchApp-15,200,,Thread Group 1-5,text,true,,1531,367,5,5,http://localhost:8080/api/v1/category/?count=20&page=0&store=&lang=en,13,0,0
1679593836360,12,S01_T01_LaunchApp-16,200,,Thread Group 1-5,text,true,,511,372,5,5,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=&lang=en,11,0,0
1679593836449,58,S01_T01_LaunchApp-17,200,,Thread Group 1-5,,true,,533,415,5,5,http://localhost:8080/api/v1/product/50/price/,58,0,0
1679593836519,53,S01_T01_LaunchApp-18,200,,Thread Group 1-5,,true,,533,415,5,5,http://localhost:8080/api/v1/product/52/price/,53,0,0
1679593836610,25,S01_T01_LaunchApp-19,200,,Thread Group 1-5,,true,,533,415,5,5,http://localhost:8080/api/v1/product/50/price/,25,0,0
1679593836714,36,S01_T01_LaunchApp-20,200,,Thread Group 1-5,,true,,533,414,5,5,http://localhost:8080/api/v1/product/1/price/,36,0,0
1679593836821,90,S01_T01_LaunchApp-21,200,,Thread Group 1-5,,true,,533,414,5,5,http://localhost:8080/api/v1/product/1/price/,90,0,0
1679593837008,95,S01_T01_LaunchApp-22,200,,Thread Group 1-5,,true,,533,415,5,5,http://localhost:8080/api/v1/product/51/price/,95,0,0
1679593837192,62,S01_T01_LaunchApp-23,200,,Thread Group 1-5,,true,,533,415,5,5,http://localhost:8080/api/v1/product/51/price/,62,0,0
1679593837266,69,S01_T01_LaunchApp-24,200,,Thread Group 1-5,,true,,533,415,5,5,http://localhost:8080/api/v1/product/52/price/,69,0,0
1679593837392,27,S01_T01_LaunchApp-25,200,,Thread Group 1-5,text,true,,531,410,5,5,http://localhost:8080/api/v1/product/1/price/,26,0,0
1679593837484,19,S01_T01_LaunchApp-26,200,,Thread Group 1-5,text,true,,531,411,5,5,http://localhost:8080/api/v1/product/52/price/,17,0,0
1679593837515,16,S01_T01_LaunchApp-27,200,,Thread Group 1-5,text,true,,529,411,5,5,http://localhost:8080/api/v1/product/50/price/,15,0,0
1679593837630,7,S01_T01_LaunchApp-28,200,,Thread Group 1-5,text,true,,529,411,5,5,http://localhost:8080/api/v1/product/50/price/,6,0,0
1679593837720,27,S01_T01_LaunchApp-29,200,,Thread Group 1-5,text,true,,531,410,5,5,http://localhost:8080/api/v1/product/1/price/,18,0,0
1679593837813,22,S01_T01_LaunchApp-30,200,,Thread Group 1-5,text,true,,531,411,5,5,http://localhost:8080/api/v1/product/51/price/,19,0,0
1679593837928,16,S01_T01_LaunchApp-31,200,,Thread Group 1-5,text,true,,531,411,5,5,http://localhost:8080/api/v1/product/52/price/,14,0,0
1679593838043,17,S01_T01_LaunchApp-32,200,,Thread Group 1-5,text,true,,531,411,5,5,http://localhost:8080/api/v1/product/51/price/,14,0,0
1679593832848,3280,S01_T01_LaunchApp,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,29817,16803,5,5,null,0,1969,942
1679593833033,89,S01_T01_LaunchApp-00,200,,Thread Group 1-1,text,true,,460,348,2,2,http://localhost:8080/,88,0,65
1679593833192,619,S01_T01_LaunchApp-01,200,OK,Thread Group 1-1,text,true,,1968,580,5,5,https://fonts.googleapis.com/css?family=Cormorant+Garamond%3A300%2C400%2C500%2C600%2C700%7CPoppins%3A300%2C400%2C500%2C600%2C700%2C800%2C900%7CJosefin+Sans%3Awght%40300%3B400%3B500%3B600%3B700%7CAbril+Fatface%7CGreat+Vibe%7CLobster&display=swap,617,0,561
1679593833876,153,S01_T01_LaunchApp-02,404,,Thread Group 1-1,text,true,,689,403,5,5,http://localhost:8080/static/media/fontawesome-webfont.af6df524.woff2,149,0,0
1679593834033,1065,S01_T01_LaunchApp-03,200,OK,Thread Group 1-1,text,true,,739,1664,5,5,https://incoming.telemetry.mozilla.org/submit/activity-stream/sessions/1/3d08cd42-c87c-429c-9973-d196a8938128,1065,0,316
1679593835138,15,S01_T01_LaunchApp-04,200,,Thread Group 1-1,,true,,533,397,5,5,http://localhost:8080/actuator/health/ping,15,0,0
1679593835234,9,S01_T01_LaunchApp-05,200,,Thread Group 1-1,text,true,,450,340,5,5,http://localhost:8080/actuator/health/ping,9,0,0
1679593835308,58,S01_T01_LaunchApp-06,200,,Thread Group 1-1,,true,,533,420,5,5,http://localhost:8080/api/v1/content/boxes/headerMessage/?lang=en,58,0,0
1679593835465,34,S01_T01_LaunchApp-07,200,,Thread Group 1-1,,true,,533,427,5,5,http://localhost:8080/api/v1/products/group/FEATURED_ITEM?store=&lang=en,34,0,0
1679593835588,250,S01_T01_LaunchApp-08,200,OK,Thread Group 1-1,text,true,,767,2558,5,5,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/33c51a44-b38d-4d44-9cdf-4c67051b7163,249,0,0
1679593835891,33,S01_T01_LaunchApp-09,404,,Thread Group 1-1,text,true,,522,363,5,5,http://localhost:8080/api/v1/content/boxes/headerMessage/?lang=en,32,0,0
1679593835955,57,S01_T01_LaunchApp-10,200,,Thread Group 1-1,text,true,,9311,370,5,5,http://localhost:8080/api/v1/products/group/FEATURED_ITEM?store=&lang=en,57,0,0
1679593836024,54,S01_T01_LaunchApp-11,200,,Thread Group 1-1,,true,,533,424,5,5,http://localhost:8080/api/v1/category/?count=20&page=0&store=&lang=en,54,0,0
1679593836174,31,S01_T01_LaunchApp-12,200,,Thread Group 1-1,,true,,533,397,5,5,http://localhost:8080/api/v1/store/DEFAULT,31,0,0
1679593836304,86,S01_T01_LaunchApp-13,200,,Thread Group 1-1,,true,,533,429,5,5,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=&lang=en,86,0,0
1679593836461,14,S01_T01_LaunchApp-14,200,,Thread Group 1-1,text,true,,1163,340,5,5,http://localhost:8080/api/v1/store/DEFAULT,13,0,0
1679593836566,9,S01_T01_LaunchApp-15,200,,Thread Group 1-1,text,true,,1531,367,5,5,http://localhost:8080/api/v1/category/?count=20&page=0&store=&lang=en,9,0,0
1679593836614,6,S01_T01_LaunchApp-16,200,,Thread Group 1-1,text,true,,511,372,5,5,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=&lang=en,6,0,0
1679593836680,32,S01_T01_LaunchApp-17,200,,Thread Group 1-1,,true,,533,415,5,5,http://localhost:8080/api/v1/product/50/price/,32,0,0
1679593836807,63,S01_T01_LaunchApp-18,200,,Thread Group 1-1,,true,,533,415,5,5,http://localhost:8080/api/v1/product/52/price/,63,0,0
1679593836953,87,S01_T01_LaunchApp-19,200,,Thread Group 1-1,,true,,533,415,5,5,http://localhost:8080/api/v1/product/50/price/,87,0,0
1679593837097,80,S01_T01_LaunchApp-20,200,,Thread Group 1-1,,true,,533,414,5,5,http://localhost:8080/api/v1/product/1/price/,80,0,0
1679593837182,68,S01_T01_LaunchApp-21,200,,Thread Group 1-1,,true,,533,414,5,5,http://localhost:8080/api/v1/product/1/price/,68,0,0
1679593837311,80,S01_T01_LaunchApp-22,200,,Thread Group 1-1,,true,,533,415,5,5,http://localhost:8080/api/v1/product/51/price/,80,0,0
1679593837435,83,S01_T01_LaunchApp-23,200,,Thread Group 1-1,,true,,533,415,5,5,http://localhost:8080/api/v1/product/51/price/,83,0,0
1679593837562,50,S01_T01_LaunchApp-24,200,,Thread Group 1-1,,true,,533,415,5,5,http://localhost:8080/api/v1/product/52/price/,50,0,0
